Date,Branch,Channel,Category,Quantity,Unit Price,Cost,Total Sales,Revenue,Profit,Waste,Status
2023-01-09,Salalah,Retail,Tablets,1,146.25,77.7,146.25,146.25,68.55,0.0,Completed
2023-01-09,Muscat,Online,Smartphones,5,264.9,179.4,1324.49,1324.49,427.48,0.0,Completed
2023-01-10,Muscat,Online,Laptops,4,322.43,181.35,1289.7,1289.7,564.29,0.0,Completed
2023-01-10,Muscat,Retail,Laptops,4,375.59,253.35,1502.35,1502.35,488.96,0.0,Completed
2023-01-10,Nizwa,Online,Smartphones,1,238.47,143.35,238.47,238.47,95.12,0.0,Completed
2023-01-10,Muscat,Retail,Accessories,2,26.09,15.7,52.18,52.18,20.78,0.0,Completed
2023-01-11,Salalah,Retail,Smartphones,2,274.06,150.62,548.12,548.12,246.87,0.0,Completed
2023-01-11,Muscat,Online,Accessories,4,24.58,16.82,98.34,98.34,31.06,0.0,Completed
2023-01-11,Sohar,Retail,Smartphones,5,240.04,153.44,1200.22,0.0,-758.51,758.51,Returned
2023-01-11,Sohar,Retail,Wearables,4,77.39,51.75,309.57,309.57,102.57,0.0,Completed
2023-01-11,Sohar,Online,Smartphones,4,267.58,138.36,1070.31,1070.31,516.87,0.0,Completed
2023-01-11,Salalah,Retail,Accessories,4,23.11,14.3,92.43,92.43,35.24,0.0,Completed
2023-01-11,Muscat,Retail,Smartphones,1,246.08,127.92,246.08,0.0,-66.22,66.22,Returned
2023-01-11,Muscat,Retail,Tablets,1,136.87,77.04,136.87,136.87,59.82,0.0,Completed
2023-01-12,Muscat,Retail,Tablets,2,158.25,87.39,316.5,316.5,141.73,0.0,Completed
2023-01-12,Muscat,Online,Accessories,2,26.95,17.03,53.89,53.89,19.82,0.0,Completed
2023-01-12,Muscat,Online,Smartphones,3,236.46,125.35,709.37,709.37,333.32,0.0,Completed
2023-01-12,Nizwa,Retail,Smartphones,4,274.75,145.82,1099.01,1099.01,515.73,0.0,Completed
2023-01-12,Sohar,Online,Accessories,4,26.42,14.28,105.68,105.68,48.56,0.0,Completed
2023-01-12,Muscat,Online,Smartphones,3,262.4,153.66,787.19,787.19,326.2,0.0,Completed
2023-01-13,Muscat,Retail,Laptops,5,376.26,210.97,1881.29,1881.29,826.43,0.0,Completed
2023-01-13,Muscat,Retail,Accessories,3,26.32,15.14,78.95,78.95,33.54,0.0,Completed
2023-01-13,Sohar,Retail,Tablets,4,154.29,84.76,617.15,617.15,278.11,0.0,Completed
2023-01-13,Muscat,Online,Smartphones,5,233.74,136.51,1168.7,1168.7,486.16,0.0,Completed
2023-01-13,Sohar,Online,Smartphones,4,228.32,117.77,913.29,913.29,442.2,0.0,Completed
2023-01-13,Muscat,Retail,Smartphones,3,236.49,123.65,709.46,709.46,338.52,0.0,Completed
2023-01-13,Sohar,Retail,Smartphones,3,268.35,181.68,805.04,805.04,260.01,0.0,Completed
2023-01-13,Nizwa,Retail,Smartphones,3,274.09,173.7,822.27,822.27,301.19,0.0,Completed
2023-01-13,Nizwa,Online,Laptops,3,327.29,195.83,981.88,981.88,394.38,0.0,Completed
2023-01-13,Muscat,Online,Smartphones,1,226.4,117.24,226.4,226.4,109.16,0.0,Completed
2023-01-13,Muscat,Retail,Accessories,1,26.64,18.16,26.64,26.64,8.48,0.0,Completed
2023-01-14,Salalah,Online,Laptops,5,337.75,186.71,1688.73,1688.73,755.2,0.0,Completed
2023-01-14,Salalah,Online,Laptops,1,340.11,216.84,340.11,340.11,123.27,0.0,Completed
2023-01-14,Muscat,Online,Tablets,3,162.1,92.32,486.31,486.31,209.34,0.0,Completed
2023-01-14,Muscat,Online,Accessories,1,25.63,14.33,25.63,25.63,11.3,0.0,Completed
2023-01-14,Muscat,Online,Laptops,4,316.94,219.93,1267.75,0.0,-580.52,580.52,Returned
2023-01-15,Salalah,Wholesale,Smartphones,13,186.22,133.24,2420.92,2420.92,688.78,0.0,Completed
2023-01-15,Sohar,Online,Accessories,1,24.73,12.65,24.73,24.73,12.08,0.0,Completed
2023-01-15,Nizwa,Retail,Accessories,2,23.52,14.06,47.03,47.03,18.91,0.0,Completed
2023-01-15,Sohar,Online,Wearables,3,82.99,49.01,248.97,248.97,101.94,0.0,Completed
2023-01-15,Muscat,Wholesale,Tablets,48,114.27,76.45,5485.12,5485.12,1815.46,0.0,Completed
2023-01-15,Nizwa,Retail,Wearables,3,79.05,41.03,237.15,237.15,114.06,0.0,Completed
2023-01-15,Salalah,Retail,Laptops,2,382.26,214.16,764.51,764.51,336.2,0.0,Completed
2023-01-15,Nizwa,Retail,Tablets,2,146.04,86.16,292.08,292.08,119.77,0.0,Completed
2023-01-16,Sohar,Retail,Smartphones,2,234.89,143.42,469.77,469.77,182.93,0.0,Completed
2023-01-16,Salalah,Wholesale,Accessories,42,19.7,14.62,827.39,827.39,213.28,0.0,Completed
2023-01-16,Nizwa,Retail,Smartphones,4,230.05,150.92,920.19,920.19,316.5,0.0,Completed
2023-01-16,Muscat,Wholesale,Smartphones,10,201.31,134.58,2013.08,2013.08,667.32,0.0,Completed
2023-01-17,Salalah,Online,Wearables,2,76.26,47.15,152.53,152.53,58.22,0.0,Completed
2023-01-17,Sohar,Online,Smartphones,3,230.24,117.87,690.72,690.72,337.1,0.0,Completed
2023-01-17,Muscat,Online,Accessories,1,26.66,14.06,26.66,26.66,12.6,0.0,Completed
2023-01-17,Muscat,Retail,Smartphones,3,253.9,137.46,761.71,761.71,349.34,0.0,Completed
2023-01-17,Sohar,Online,Laptops,3,379.85,213.11,1139.55,1139.55,500.21,0.0,Completed
2023-01-17,Muscat,Online,Laptops,1,321.81,209.09,321.81,321.81,112.72,0.0,Completed
2023-01-17,Nizwa,Online,Laptops,1,374.93,203.38,374.93,374.93,171.55,0.0,Completed
2023-01-18,Salalah,Online,Smartphones,3,267.96,142.3,803.87,803.87,376.98,0.0,Completed
2023-01-18,Nizwa,Retail,Accessories,4,23.84,12.24,95.35,95.35,46.37,0.0,Completed
2023-01-18,Muscat,Online,Smartphones,4,235.71,161.2,942.82,942.82,298.01,0.0,Completed
2023-01-18,Muscat,Retail,Wearables,4,82.98,57.89,331.9,331.9,100.33,0.0,Completed
2023-01-18,Salalah,Online,Laptops,2,377.94,207.68,755.89,755.89,340.53,0.0,Completed
2023-01-18,Salalah,Online,Tablets,2,152.27,86.12,304.53,304.53,132.29,0.0,Completed
2023-01-19,Muscat,Retail,Smartphones,5,274.12,154.17,1370.58,1370.58,599.72,0.0,Completed
2023-01-19,Nizwa,Online,Accessories,5,24.86,17.14,124.29,124.29,38.58,0.0,Completed
2023-01-19,Muscat,Online,Laptops,5,355.16,226.18,1775.82,1775.82,644.91,0.0,Completed
2023-01-19,Sohar,Online,Smartphones,1,255.34,158.67,255.34,0.0,-34.05,34.05,Returned
2023-01-19,Muscat,Retail,Tablets,3,158.17,103.04,474.52,474.52,165.4,0.0,Completed
2023-01-20,Sohar,Wholesale,Accessories,38,19.41,16.93,737.47,737.47,94.22,0.0,Completed
2023-01-20,Sohar,Online,Smartphones,5,253.79,176.28,1268.93,1268.93,387.54,0.0,Completed
2023-01-20,Nizwa,Retail,Smartphones,4,259.22,176.48,1036.87,1036.87,330.95,0.0,Completed
2023-01-20,Salalah,Online,Accessories,4,23.37,12.0,93.49,93.49,45.5,0.0,Completed
2023-01-20,Nizwa,Retail,Accessories,4,27.03,18.21,108.13,108.13,35.3,0.0,Completed
2023-01-20,Muscat,Wholesale,Smartphones,33,203.84,140.23,6726.77,6726.77,2099.06,0.0,Completed
2023-01-20,Nizwa,Retail,Tablets,3,145.58,101.37,436.75,436.75,132.63,0.0,Completed
2023-01-21,Sohar,Wholesale,Accessories,17,20.36,17.09,346.08,346.08,55.48,0.0,Completed
2023-01-21,Muscat,Online,Tablets,4,162.58,111.69,650.31,650.31,203.57,0.0,Completed
2023-01-21,Sohar,Retail,Smartphones,2,239.11,145.73,478.22,478.22,186.76,0.0,Completed
2023-01-21,Muscat,Retail,Smartphones,2,256.19,176.08,512.38,512.38,160.21,0.0,Completed
2023-01-21,Nizwa,Online,Laptops,2,315.48,196.44,630.97,630.97,238.09,0.0,Completed
2023-01-21,Muscat,Retail,Smartphones,1,266.1,148.96,266.1,266.1,117.15,0.0,Completed
2023-01-21,Salalah,Online,Accessories,1,22.82,12.84,22.82,22.82,9.98,0.0,Completed
2023-01-21,Muscat,Retail,Laptops,4,353.87,207.71,1415.47,1415.47,584.62,0.0,Completed
2023-01-21,Muscat,Online,Smartphones,2,238.84,139.08,477.68,477.68,199.51,0.0,Completed
2023-01-22,Salalah,Retail,Accessories,2,24.29,16.35,48.59,48.59,15.89,0.0,Completed
2023-01-22,Muscat,Retail,Smartphones,2,246.06,166.64,492.12,492.12,158.83,0.0,Completed
2023-01-22,Nizwa,Retail,Laptops,2,318.42,176.69,636.84,636.84,283.47,0.0,Completed
2023-01-23,Muscat,Online,Smartphones,3,258.59,156.27,775.78,775.78,306.96,0.0,Completed
2023-01-23,Sohar,Retail,Accessories,1,26.19,14.51,26.19,26.19,11.67,0.0,Completed
2023-01-23,Salalah,Retail,Wearables,2,74.93,51.59,149.87,149.87,46.7,0.0,Completed
2023-01-23,Muscat,Retail,Tablets,4,151.98,100.82,607.91,607.91,204.64,0.0,Completed
2023-01-23,Nizwa,Wholesale,Laptops,100,295.45,215.74,29545.45,29545.45,7970.95,0.0,Completed
2023-01-24,Salalah,Retail,Tablets,3,139.18,95.69,417.54,417.54,130.45,0.0,Completed
2023-01-24,Muscat,Retail,Tablets,3,154.02,82.25,462.05,462.05,215.3,0.0,Completed
2023-01-24,Salalah,Retail,Wearables,2,78.86,50.14,157.72,0.0,-85.77,85.77,Returned
2023-01-24,Sohar,Retail,Wearables,2,84.56,52.13,169.13,169.13,64.88,0.0,Completed
2023-01-24,Muscat,Retail,Smartphones,2,227.88,116.44,455.76,455.76,222.87,0.0,Completed
2023-01-25,Sohar,Online,Smartphones,3,238.33,146.62,714.98,714.98,275.13,0.0,Completed
2023-01-25,Muscat,Retail,Smartphones,2,241.36,156.53,482.71,482.71,169.64,0.0,Completed
2023-01-25,Muscat,Wholesale,Wearables,90,60.68,45.7,5461.45,5461.45,1348.01,0.0,Completed
2023-01-25,Muscat,Online,Wearables,2,82.79,45.43,165.59,165.59,74.73,0.0,Completed
2023-01-25,Muscat,Retail,Laptops,2,338.92,187.12,677.84,677.84,303.59,0.0,Completed
2023-01-25,Salalah,Retail,Smartphones,4,229.67,132.78,918.7,918.7,387.59,0.0,Completed
2023-01-25,Muscat,Online,Accessories,5,24.31,13.91,121.56,121.56,52.0,0.0,Completed
2023-01-25,Sohar,Retail,Accessories,3,26.61,18.6,79.82,79.82,24.03,0.0,Completed
2023-01-26,Muscat,Retail,Smartphones,4,265.38,167.4,1061.53,1061.53,391.93,0.0,Completed
2023-01-26,Salalah,Online,Smartphones,1,256.34,153.31,256.34,256.34,103.03,0.0,Completed
2023-01-26,Sohar,Online,Smartphones,3,259.33,131.76,777.99,777.99,382.69,0.0,Completed
2023-01-26,Muscat,Online,Smartphones,5,258.34,147.42,1291.71,1291.71,554.6,0.0,Completed
2023-01-27,Salalah,Retail,Laptops,5,330.45,166.83,1652.24,1652.24,818.08,0.0,Completed
2023-01-27,Muscat,Retail,Smartphones,1,237.95,144.57,237.95,237.95,93.38,0.0,Completed
2023-01-27,Salalah,Wholesale,Wearables,22,66.45,56.13,1461.85,1461.85,226.96,0.0,Completed
2023-01-27,Muscat,Retail,Accessories,4,26.3,17.48,105.21,0.0,-55.62,55.62,Returned
2023-01-28,Sohar,Retail,Smartphones,3,254.9,158.96,764.7,764.7,287.8,0.0,Completed
2023-01-28,Salalah,Retail,Tablets,5,163.47,98.13,817.35,817.35,326.72,0.0,Completed
2023-01-28,Muscat,Wholesale,Laptops,12,277.18,221.12,3326.21,3326.21,672.73,0.0,Completed
2023-01-28,Salalah,Retail,Wearables,5,77.83,48.26,389.16,389.16,147.86,0.0,Completed
2023-01-28,Muscat,Online,Smartphones,3,273.33,166.56,819.99,819.99,320.3,0.0,Completed
2023-01-28,Muscat,Retail,Wearables,2,75.15,41.23,150.31,150.31,67.86,0.0,Completed
2023-01-28,Salalah,Retail,Laptops,3,346.07,201.89,1038.21,1038.21,432.55,0.0,Completed
2023-01-28,Muscat,Retail,Smartphones,4,241.45,159.37,965.81,965.81,328.32,0.0,Completed
2023-01-29,Sohar,Wholesale,Laptops,36,261.28,185.27,9406.15,9406.15,2736.32,0.0,Completed
2023-01-29,Salalah,Retail,Smartphones,4,244.18,136.03,976.7,976.7,432.59,0.0,Completed
2023-01-29,Muscat,Wholesale,Tablets,13,118.93,78.17,1546.07,1546.07,529.8,0.0,Completed
2023-01-29,Nizwa,Online,Laptops,4,348.33,213.73,1393.33,1393.33,538.42,0.0,Completed
2023-01-29,Muscat,Online,Wearables,2,75.91,46.76,151.83,151.83,58.31,0.0,Completed
2023-01-29,Sohar,Online,Laptops,3,359.61,187.05,1078.84,1078.84,517.68,0.0,Completed
2023-01-29,Sohar,Retail,Smartphones,3,231.09,133.2,693.28,693.28,293.67,0.0,Completed
2023-01-29,Muscat,Online,Tablets,4,154.61,105.34,618.44,618.44,197.06,0.0,Completed
2023-01-30,Salalah,Wholesale,Laptops,38,271.8,181.37,10328.24,10328.24,3436.32,0.0,Completed
2023-01-30,Nizwa,Retail,Accessories,3,25.35,16.81,76.06,76.06,25.62,0.0,Completed
2023-01-30,Muscat,Online,Smartphones,4,259.45,134.99,1037.82,1037.82,497.85,0.0,Completed
2023-01-30,Muscat,Wholesale,Laptops,85,298.93,210.0,25409.19,25409.19,7558.81,0.0,Completed
2023-01-30,Muscat,Retail,Tablets,5,162.13,107.02,810.65,810.65,275.56,0.0,Completed
2023-01-30,Muscat,Online,Accessories,3,26.16,17.07,78.49,78.49,27.3,0.0,Completed
2023-01-31,Muscat,Retail,Laptops,3,376.5,221.66,1129.51,1129.51,464.52,0.0,Completed
2023-01-31,Salalah,Retail,Laptops,1,367.53,207.08,367.53,367.53,160.45,0.0,Completed
2023-01-31,Salalah,Retail,Smartphones,4,262.45,154.82,1049.8,1049.8,430.52,0.0,Completed
2023-01-31,Muscat,Retail,Smartphones,1,234.11,150.78,234.11,234.11,83.33,0.0,Completed
2023-01-31,Salalah,Retail,Accessories,5,24.14,16.06,120.71,120.71,40.41,0.0,Completed
2023-01-31,Nizwa,Retail,Accessories,5,23.61,15.92,118.05,118.05,38.43,0.0,Completed
2023-01-31,Nizwa,Online,Wearables,5,85.4,52.64,427.01,427.01,163.81,0.0,Completed
2023-01-31,Sohar,Online,Laptops,2,368.24,241.76,736.47,736.47,252.95,0.0,Completed
2023-02-01,Muscat,Online,Tablets,5,143.1,77.45,715.49,715.49,328.24,0.0,Completed
2023-02-01,Muscat,Retail,Tablets,1,151.55,77.16,151.55,151.55,74.39,0.0,Completed
2023-02-01,Nizwa,Retail,Smartphones,1,263.29,146.77,263.29,263.29,116.52,0.0,Completed
2023-02-01,Salalah,Retail,Wearables,1,75.75,44.48,75.75,75.75,31.27,0.0,Completed
2023-02-01,Sohar,Wholesale,Smartphones,80,206.72,159.12,16537.39,16537.39,3807.94,0.0,Completed
2023-02-01,Muscat,Wholesale,Accessories,33,19.16,12.73,632.13,632.13,212.05,0.0,Completed
2023-02-01,Nizwa,Online,Smartphones,2,272.55,180.65,545.11,545.11,183.81,0.0,Completed
2023-02-01,Muscat,Wholesale,Smartphones,90,206.55,148.83,18589.18,18589.18,5194.06,0.0,Completed
2023-02-01,Sohar,Online,Smartphones,5,268.84,149.52,1344.21,1344.21,596.62,0.0,Completed
2023-02-02,Muscat,Retail,Smartphones,5,235.4,131.82,1176.98,1176.98,517.89,0.0,Completed
2023-02-02,Salalah,Retail,Laptops,1,321.39,200.81,321.39,321.39,120.58,0.0,Completed
2023-02-02,Muscat,Retail,Smartphones,5,274.76,168.34,1373.82,1373.82,532.13,0.0,Completed
2023-02-03,Muscat,Online,Accessories,2,22.63,12.09,45.27,45.27,21.09,0.0,Completed
2023-02-03,Muscat,Online,Smartphones,1,239.65,146.67,239.65,239.65,92.98,0.0,Completed
2023-02-04,Sohar,Retail,Accessories,2,23.46,11.77,46.91,46.91,23.38,0.0,Completed
2023-02-04,Muscat,Retail,Laptops,1,354.85,189.08,354.85,354.85,165.77,0.0,Completed
2023-02-04,Muscat,Retail,Smartphones,1,236.28,159.25,236.28,236.28,77.04,0.0,Completed
2023-02-04,Sohar,Retail,Tablets,5,138.57,70.67,692.86,692.86,339.5,0.0,Completed
2023-02-04,Salalah,Online,Accessories,1,24.2,13.07,24.2,24.2,11.12,0.0,Completed
2023-02-04,Muscat,Online,Smartphones,2,244.69,152.38,489.39,489.39,184.63,0.0,Completed
2023-02-04,Muscat,Online,Smartphones,2,247.79,143.03,495.58,495.58,209.52,0.0,Completed
2023-02-04,Muscat,Retail,Wearables,1,75.23,42.52,75.23,75.23,32.71,0.0,Completed
2023-02-05,Salalah,Retail,Accessories,3,25.22,15.63,75.66,75.66,28.76,0.0,Completed
2023-02-05,Nizwa,Retail,Smartphones,1,235.45,123.68,235.45,235.45,111.76,0.0,Completed
2023-02-05,Salalah,Wholesale,Wearables,52,64.88,56.36,3373.71,3373.71,442.73,0.0,Completed
2023-02-05,Nizwa,Retail,Laptops,4,326.06,182.19,1304.25,1304.25,575.5,0.0,Completed
2023-02-05,Sohar,Retail,Smartphones,5,256.8,177.68,1283.99,1283.99,395.58,0.0,Completed
2023-02-05,Muscat,Wholesale,Smartphones,76,211.86,163.27,16101.5,16101.5,3692.75,0.0,Completed
2023-02-05,Salalah,Retail,Laptops,4,349.25,232.05,1397.01,1397.01,468.79,0.0,Completed
2023-02-05,Muscat,Retail,Laptops,1,373.18,211.84,373.18,373.18,161.34,0.0,Completed
2023-02-06,Nizwa,Wholesale,Smartphones,90,197.39,159.15,17765.15,17765.15,3441.33,0.0,Completed
2023-02-06,Sohar,Retail,Smartphones,2,245.73,161.96,491.45,491.45,167.53,0.0,Completed
2023-02-07,Salalah,Online,Laptops,4,315.74,199.71,1262.96,1262.96,464.12,0.0,Completed
2023-02-07,Muscat,Online,Accessories,3,25.36,14.64,76.09,76.09,32.17,0.0,Completed
2023-02-07,Sohar,Online,Accessories,5,23.1,15.31,115.5,115.5,38.93,0.0,Completed
2023-02-07,Nizwa,Online,Smartphones,1,237.44,127.28,237.44,237.44,110.16,0.0,Completed
2023-02-07,Sohar,Retail,Tablets,3,145.48,95.29,436.45,436.45,150.57,0.0,Completed
2023-02-07,Sohar,Wholesale,Smartphones,68,191.19,160.92,13000.8,13000.8,2058.38,0.0,Completed
2023-02-08,Salalah,Retail,Laptops,3,327.15,218.49,981.46,981.46,326.0,0.0,Completed
2023-02-08,Nizwa,Retail,Smartphones,5,265.12,146.65,1325.59,1325.59,592.35,0.0,Completed
2023-02-08,Muscat,Online,Tablets,5,141.12,70.79,705.62,705.62,351.69,0.0,Completed
2023-02-08,Nizwa,Online,Smartphones,5,244.8,126.72,1224.02,1224.02,590.43,0.0,Completed
2023-02-09,Muscat,Retail,Smartphones,1,267.14,166.63,267.14,267.14,100.51,0.0,Completed
2023-02-09,Muscat,Wholesale,Smartphones,33,205.65,155.15,6786.36,6786.36,1666.56,0.0,Completed
2023-02-09,Salalah,Wholesale,Smartphones,64,211.64,147.26,13544.84,13544.84,4120.01,0.0,Completed
2023-02-09,Salalah,Retail,Accessories,3,23.2,13.92,69.61,0.0,-21.15,21.15,Returned
2023-02-09,Salalah,Online,Accessories,2,24.14,14.76,48.29,48.29,18.76,0.0,Completed
2023-02-09,Salalah,Wholesale,Laptops,90,254.5,164.9,22904.86,22904.86,8064.07,0.0,Completed
2023-02-10,Salalah,Online,Accessories,2,25.18,15.37,50.35,50.35,19.62,0.0,Completed
2023-02-10,Muscat,Online,Smartphones,1,262.08,172.64,262.08,262.08,89.44,0.0,Completed
2023-02-10,Salalah,Online,Smartphones,4,265.12,144.63,1060.48,1060.48,481.97,0.0,Completed
2023-02-10,Muscat,Online,Smartphones,3,225.18,138.02,675.54,675.54,261.49,0.0,Completed
2023-02-10,Nizwa,Retail,Smartphones,1,257.37,149.82,257.37,257.37,107.56,0.0,Completed
2023-02-10,Muscat,Retail,Accessories,1,25.45,17.21,25.45,25.45,8.24,0.0,Completed
2023-02-11,Sohar,Online,Laptops,1,334.83,169.67,334.83,334.83,165.17,0.0,Completed
2023-02-11,Muscat,Online,Accessories,2,26.75,14.23,53.5,53.5,25.04,0.0,Completed
2023-02-11,Salalah,Online,Laptops,2,365.82,254.86,731.64,731.64,221.91,0.0,Completed
2023-02-11,Nizwa,Retail,Accessories,1,24.25,16.49,24.25,24.25,7.76,0.0,Completed
2023-02-11,Muscat,Online,Accessories,2,22.56,14.22,45.12,45.12,16.68,0.0,Completed
2023-02-11,Muscat,Retail,Wearables,1,83.23,55.45,83.23,83.23,27.78,0.0,Completed
2023-02-11,Muscat,Retail,Smartphones,4,251.82,138.92,1007.28,1007.28,451.58,0.0,Completed
2023-02-12,Sohar,Retail,Smartphones,5,241.65,143.77,1208.25,1208.25,489.42,0.0,Completed
2023-02-12,Sohar,Wholesale,Laptops,60,278.15,198.02,16689.24,16689.24,4808.07,0.0,Completed
2023-02-12,Salalah,Retail,Smartphones,5,230.94,142.75,1154.69,1154.69,440.92,0.0,Completed
2023-02-12,Salalah,Retail,Smartphones,2,260.47,150.19,520.94,520.94,220.56,0.0,Completed
2023-02-12,Salalah,Retail,Wearables,4,80.1,42.24,320.42,320.42,151.46,0.0,Completed
2023-02-13,Salalah,Retail,Smartphones,3,246.96,161.23,740.89,740.89,257.2,0.0,Completed
2023-02-13,Muscat,Wholesale,Accessories,19,19.85,14.87,377.21,377.21,94.75,0.0,Completed
2023-02-13,Sohar,Online,Laptops,5,326.87,192.68,1634.36,1634.36,670.95,0.0,Completed
2023-02-13,Muscat,Online,Accessories,4,27.03,15.13,108.13,108.13,47.62,0.0,Completed
2023-02-13,Salalah,Wholesale,Smartphones,45,185.74,118.57,8358.35,8358.35,3022.67,0.0,Completed
2023-02-14,Salalah,Retail,Smartphones,5,267.75,182.07,1338.73,1338.73,428.37,0.0,Completed
2023-02-14,Muscat,Retail,Laptops,3,330.53,198.0,991.58,991.58,397.57,0.0,Completed
2023-02-14,Muscat,Online,Accessories,1,26.6,16.22,26.6,26.6,10.39,0.0,Completed
2023-02-15,Nizwa,Retail,Tablets,1,136.86,71.81,136.86,136.86,65.05,0.0,Completed
2023-02-15,Salalah,Online,Accessories,3,26.71,13.77,80.14,80.14,38.82,0.0,Completed
2023-02-15,Salalah,Wholesale,Laptops,95,300.52,200.81,28549.01,28549.01,9472.28,0.0,Completed
2023-02-16,Salalah,Retail,Laptops,3,372.87,229.76,1118.61,1118.61,429.32,0.0,Completed
2023-02-16,Salalah,Retail,Laptops,2,331.29,198.83,662.57,662.57,264.9,0.0,Completed
2023-02-16,Muscat,Online,Smartphones,2,234.42,154.95,468.84,468.84,158.94,0.0,Completed
