Record_ID,Date,Total_Customers,New_Customers,Retained_Customers,Churn_Rate,Revenue_OMR,Expenses_OMR,Profit_OMR,Employee_Count,Service_Requests,Completed_Services
74,2024-02-20,373,157,107,0.103,17658.41,9263.38,8395.03,28,391,61
75,2024-11-13,899,164,200,0.181,10102.59,2097.58,8005.01,32,388,107
76,2024-05-11,528,185,251,0.11,19869.51,8791.67,11077.84,32,100,85
77,2024-09-24,845,44,602,0.131,14444.58,5439.22,9005.36,35,191,135
78,2024-01-22,296,187,199,0.191,18352.98,11324.56,7028.42,73,322,210
79,2024-07-19,898,71,559,0.031,9670.19,6928.16,2742.03,61,87,58
80,2024-06-30,361,23,153,0.168,4960.12,2296.35,2663.77,79,377,66
81,2024-09-19,1764,74,476,0.191,16472.11,5146.64,11325.47,29,496,118
82,2024-01-06,1139,24,845,0.099,3363.31,9685.17,-6321.86,86,129,62
83,2024-10-19,408,150,234,0.116,14560.74,5258.8,9301.94,42,459,327
84,2024-02-04,778,163,243,0.156,19330.02,3606.08,15723.94,53,165,94
85,2024-06-19,347,92,153,0.184,12756.21,1811.9,10944.31,26,422,286
86,2024-02-27,949,165,339,0.076,12430.11,8179.15,4250.96,95,89,84
87,2024-02-03,509,183,144,0.124,18174.83,14109.86,4064.97,28,443,303
88,2024-07-20,1817,159,628,0.035,13222.56,12562.04,660.52,33,469,49
89,2024-01-14,1943,60,567,0.107,17594.8,3908.12,13686.68,71,212,194
90,2024-03-10,232,183,164,0.173,7600.13,7426.6,173.53,61,232,132
91,2024-09-15,1198,150,1089,0.163,16620.0,13591.39,3028.61,71,137,74
92,2024-11-08,889,36,363,0.061,6091.37,6753.99,-662.62,51,480,51
93,2024-05-25,1205,115,1157,0.112,19347.94,2257.5,17090.44,12,380,174
94,2024-03-25,683,164,221,0.093,12190.77,11434.63,756.14,89,71,69
95,2024-02-06,988,186,396,0.096,11825.31,1819.11,10006.2,55,152,121
96,2024-10-11,237,25,213,0.143,11062.17,9234.84,1827.33,59,404,53
97,2024-10-26,1778,160,634,0.035,9844.35,4001.17,5843.18,71,464,122
98,2024-12-03,322,178,270,0.123,9158.17,1060.05,8098.12,73,281,95
99,2024-09-01,1126,65,883,0.103,3016.37,10316.41,-7300.04,71,429,419
100,2024-03-07,972,100,356,0.178,7722.09,4615.31,3106.78,52,96,52
