MH Analytics System - Professional Sales Report
Report Date,2026-05-18 11:33

--- General Performance Summary ---
Total Revenue,$2269046.77
Total Transactions,2125

--- Transaction Details ---
Date,Store,Product,Quantity,Unit Price,Total
2026-02-20,Main Store,Gadget 4,5,$99.99,$499.95
2026-02-20,Main Store,Gadget 3,1,$99.99,$99.99
2026-02-20,Main Store,Gadget 1,1,$99.99,$99.99
2026-02-20,Main Store,Gadget 0,1,$99.99,$99.99
2026-02-20,Main Store,Gadget 0,3,$99.99,$299.97
2026-02-20,Main Store,Gadget 4,1,$99.99,$99.99
2026-02-20,Main Store,Gadget 4,4,$99.99,$399.96
2026-02-20,Main Store,Gadget 3,1,$99.99,$99.99
2026-02-20,Main Store,Gadget 1,3,$99.99,$299.97
2026-02-20,Main Store,Gadget 3,4,$99.99,$399.96
2026-02-20,Main Store,Gadget 4,2,$99.99,$199.98
2026-02-20,Main Store,Gadget 3,2,$99.99,$199.98
2026-02-20,Main Store,Gadget 4,4,$99.99,$399.96
2026-02-20,Main Store,Gadget 3,5,$99.99,$499.95
2026-02-20,Main Store,Gadget 2,1,$99.99,$99.99
2026-02-20,Main Store,Gadget 3,2,$99.99,$199.98
2026-02-20,Main Store,Gadget 4,4,$99.99,$399.96
2026-02-20,Main Store,Gadget 0,5,$99.99,$499.95
2026-02-19,Main Store,Gadget 0,5,$99.99,$499.95
2026-02-19,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-19,Main Store,Gadget 2,3,$99.99,$299.97
2026-02-19,Main Store,Gadget 4,4,$99.99,$399.96
2026-02-19,Main Store,Gadget 4,1,$99.99,$99.99
2026-02-19,Main Store,Gadget 1,4,$99.99,$399.96
2026-02-19,Main Store,Gadget 2,1,$99.99,$99.99
2026-02-19,Main Store,Gadget 4,1,$99.99,$99.99
2026-02-19,Main Store,Gadget 3,5,$99.99,$499.95
2026-02-19,Main Store,Gadget 1,5,$99.99,$499.95
2026-02-19,Main Store,Gadget 3,1,$99.99,$99.99
2026-02-18,Main Store,Gadget 0,2,$99.99,$199.98
2026-02-18,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-18,Main Store,Gadget 4,1,$99.99,$99.99
2026-02-18,Main Store,Gadget 0,3,$99.99,$299.97
2026-02-18,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-18,Main Store,Gadget 3,4,$99.99,$399.96
2026-02-18,Main Store,Gadget 3,5,$99.99,$499.95
2026-02-18,Main Store,Gadget 0,1,$99.99,$99.99
2026-02-18,Main Store,Gadget 2,4,$99.99,$399.96
2026-02-18,Main Store,Gadget 2,4,$99.99,$399.96
2026-02-18,Main Store,Gadget 2,3,$99.99,$299.97
2026-02-18,Main Store,Gadget 0,2,$99.99,$199.98
2026-02-18,Main Store,Gadget 3,1,$99.99,$99.99
2026-02-18,Main Store,Gadget 0,5,$99.99,$499.95
2026-02-17,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-17,Main Store,Gadget 2,2,$99.99,$199.98
2026-02-17,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-17,Main Store,Gadget 3,4,$99.99,$399.96
2026-02-17,Main Store,Gadget 0,3,$99.99,$299.97
2026-02-17,Main Store,Gadget 3,1,$99.99,$99.99
2026-02-17,Main Store,Gadget 2,4,$99.99,$399.96
2026-02-17,Main Store,Gadget 1,2,$99.99,$199.98
2026-02-17,Main Store,Gadget 2,2,$99.99,$199.98
2026-02-17,Main Store,Gadget 3,2,$99.99,$199.98
2026-02-17,Main Store,Gadget 3,3,$99.99,$299.97
2026-02-17,Main Store,Gadget 3,5,$99.99,$499.95
2026-02-17,Main Store,Gadget 3,2,$99.99,$199.98
2026-02-16,Main Store,Gadget 0,3,$99.99,$299.97
2026-02-16,Main Store,Gadget 0,2,$99.99,$199.98
2026-02-16,Main Store,Gadget 0,5,$99.99,$499.95
2026-02-16,Main Store,Gadget 0,2,$99.99,$199.98
2026-02-16,Main Store,Gadget 4,5,$99.99,$499.95
2026-02-16,Main Store,Gadget 2,2,$99.99,$199.98
2026-02-16,Main Store,Gadget 0,5,$99.99,$499.95
2026-02-16,Main Store,Gadget 3,5,$99.99,$499.95
2026-02-16,Main Store,Gadget 3,2,$99.99,$199.98
2026-02-16,Main Store,Gadget 3,3,$99.99,$299.97
2026-02-16,Main Store,Gadget 2,3,$99.99,$299.97
2026-02-16,Main Store,Gadget 0,5,$99.99,$499.95
2026-02-16,Main Store,Gadget 3,3,$99.99,$299.97
2026-02-16,Main Store,Gadget 1,2,$99.99,$199.98
2026-02-16,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-16,Main Store,Gadget 2,2,$99.99,$199.98
2026-02-16,Main Store,Gadget 2,5,$99.99,$499.95
2026-02-16,Main Store,Gadget 1,5,$99.99,$499.95
2026-02-16,Main Store,Gadget 1,5,$99.99,$499.95
2026-02-16,Main Store,Gadget 3,1,$99.99,$99.99
2026-02-16,Main Store,Gadget 3,5,$99.99,$499.95
2026-02-16,Main Store,Gadget 1,5,$99.99,$499.95
2026-02-16,Main Store,Gadget 4,2,$99.99,$199.98
2026-02-15,Main Store,Gadget 3,3,$99.99,$299.97
2026-02-15,Main Store,Gadget 3,5,$99.99,$499.95
2026-02-15,Main Store,Gadget 3,1,$99.99,$99.99
2026-02-15,Main Store,Gadget 2,4,$99.99,$399.96
2026-02-15,Main Store,Gadget 3,4,$99.99,$399.96
2026-02-15,Main Store,Gadget 0,5,$99.99,$499.95
2026-02-15,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-15,Main Store,Gadget 2,5,$99.99,$499.95
2026-02-15,Main Store,Gadget 0,3,$99.99,$299.97
2026-02-15,Main Store,Gadget 4,5,$99.99,$499.95
2026-02-15,Main Store,Gadget 4,4,$99.99,$399.96
2026-02-14,Main Store,Gadget 3,3,$99.99,$299.97
2026-02-14,Main Store,Gadget 0,2,$99.99,$199.98
2026-02-14,Main Store,Gadget 0,1,$99.99,$99.99
2026-02-14,Main Store,Gadget 1,2,$99.99,$199.98
2026-02-14,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-14,Main Store,Gadget 1,1,$99.99,$99.99
2026-02-14,Main Store,Gadget 2,1,$99.99,$99.99
2026-02-14,Main Store,Gadget 1,2,$99.99,$199.98
2026-02-14,Main Store,Gadget 2,1,$99.99,$99.99
2026-02-14,Main Store,Gadget 1,3,$99.99,$299.97
2026-02-14,Main Store,Gadget 0,5,$99.99,$499.95
2026-02-14,Main Store,Gadget 2,5,$99.99,$499.95
2026-02-14,Main Store,Gadget 3,5,$99.99,$499.95
2026-02-14,Main Store,Gadget 1,2,$99.99,$199.98
2026-02-14,Main Store,Gadget 4,4,$99.99,$399.96
2026-02-13,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-13,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-13,Main Store,Gadget 1,3,$99.99,$299.97
2026-02-13,Main Store,Gadget 0,1,$99.99,$99.99
2026-02-13,Main Store,Gadget 2,4,$99.99,$399.96
2026-02-13,Main Store,Gadget 2,5,$99.99,$499.95
2026-02-13,Main Store,Gadget 4,1,$99.99,$99.99
2026-02-13,Main Store,Gadget 4,2,$99.99,$199.98
2026-02-13,Main Store,Gadget 3,1,$99.99,$99.99
2026-02-13,Main Store,Gadget 1,4,$99.99,$399.96
2026-02-13,Main Store,Gadget 3,1,$99.99,$99.99
2026-02-13,Main Store,Gadget 3,1,$99.99,$99.99
2026-02-13,Main Store,Gadget 2,4,$99.99,$399.96
2026-02-13,Main Store,Gadget 4,3,$99.99,$299.97
2026-02-13,Main Store,Gadget 2,4,$99.99,$399.96
2026-02-12,Main Store,Gadget 0,5,$99.99,$499.95
2026-02-12,Main Store,Gadget 4,1,$99.99,$99.99
2026-02-12,Main Store,Gadget 1,1,$99.99,$99.99
2026-02-12,Main Store,Gadget 2,4,$99.99,$399.96
2026-02-12,Main Store,Gadget 3,2,$99.99,$199.98
2026-02-12,Main Store,Gadget 0,1,$99.99,$99.99
2026-02-12,Main Store,Gadget 4,1,$99.99,$99.99
2026-02-12,Main Store,Gadget 0,5,$99.99,$499.95
2026-02-11,Main Store,Gadget 3,2,$99.99,$199.98
2026-02-11,Main Store,Gadget 2,4,$99.99,$399.96
2026-02-11,Main Store,Gadget 4,2,$99.99,$199.98
2026-02-11,Main Store,Gadget 2,1,$99.99,$99.99
2026-02-11,Main Store,Gadget 2,2,$99.99,$199.98
2026-02-11,Main Store,Gadget 2,3,$99.99,$299.97
2026-02-11,Main Store,Gadget 2,3,$99.99,$299.97
2026-02-11,Main Store,Gadget 1,4,$99.99,$399.96
2026-02-11,Main Store,Gadget 0,2,$99.99,$199.98
2026-02-11,Main Store,Gadget 3,1,$99.99,$99.99
2026-02-11,Main Store,Gadget 2,5,$99.99,$499.95
2026-02-11,Main Store,Gadget 4,4,$99.99,$399.96
2026-02-11,Main Store,Gadget 1,3,$99.99,$299.97
2026-02-11,Main Store,Gadget 2,2,$99.99,$199.98
2026-02-11,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-11,Main Store,Gadget 3,1,$99.99,$99.99
2026-02-11,Main Store,Gadget 4,2,$99.99,$199.98
2026-02-11,Main Store,Gadget 1,1,$99.99,$99.99
2026-02-11,Main Store,Gadget 0,5,$99.99,$499.95
2026-02-11,Main Store,Gadget 0,1,$99.99,$99.99
2026-02-11,Main Store,Gadget 3,3,$99.99,$299.97
2026-02-10,Main Store,Gadget 1,2,$99.99,$199.98
2026-02-10,Main Store,Gadget 2,1,$99.99,$99.99
2026-02-10,Main Store,Gadget 0,3,$99.99,$299.97
2026-02-10,Main Store,Gadget 4,3,$99.99,$299.97
2026-02-10,Main Store,Gadget 3,3,$99.99,$299.97
2026-02-10,Main Store,Gadget 1,2,$99.99,$199.98
2026-02-10,Main Store,Gadget 1,3,$99.99,$299.97
2026-02-10,Main Store,Gadget 1,4,$99.99,$399.96
2026-02-10,Main Store,Gadget 1,4,$99.99,$399.96
2026-02-10,Main Store,Gadget 4,5,$99.99,$499.95
2026-02-10,Main Store,Gadget 1,3,$99.99,$299.97
2026-02-10,Main Store,Gadget 3,3,$99.99,$299.97
2026-02-10,Main Store,Gadget 1,5,$99.99,$499.95
2026-02-10,Main Store,Gadget 2,3,$99.99,$299.97
2026-02-10,Main Store,Gadget 1,2,$99.99,$199.98
2026-02-10,Main Store,Gadget 2,5,$99.99,$499.95
2026-02-09,Main Store,Gadget 4,5,$99.99,$499.95
2026-02-09,Main Store,Gadget 2,3,$99.99,$299.97
2026-02-09,Main Store,Gadget 1,5,$99.99,$499.95
2026-02-09,Main Store,Gadget 0,1,$99.99,$99.99
2026-02-09,Main Store,Gadget 4,2,$99.99,$199.98
2026-02-09,Main Store,Gadget 2,5,$99.99,$499.95
2026-02-09,Main Store,Gadget 0,2,$99.99,$199.98
2026-02-09,Main Store,Gadget 0,2,$99.99,$199.98
2026-02-09,Main Store,Gadget 1,1,$99.99,$99.99
2026-02-09,Main Store,Gadget 2,1,$99.99,$99.99
2026-02-09,Main Store,Gadget 3,1,$99.99,$99.99
2026-02-09,Main Store,Gadget 3,3,$99.99,$299.97
2026-02-09,Main Store,Gadget 1,4,$99.99,$399.96
2026-02-09,Main Store,Gadget 3,1,$99.99,$99.99
2026-02-09,Main Store,Gadget 1,4,$99.99,$399.96
2026-02-09,Main Store,Gadget 3,1,$99.99,$99.99
2026-02-09,Main Store,Gadget 1,3,$99.99,$299.97
2026-02-09,Main Store,Gadget 3,5,$99.99,$499.95
2026-02-09,Main Store,Gadget 3,1,$99.99,$99.99
2026-02-08,Main Store,Gadget 1,3,$99.99,$299.97
2026-02-08,Main Store,Gadget 1,5,$99.99,$499.95
2026-02-08,Main Store,Gadget 1,4,$99.99,$399.96
2026-02-08,Main Store,Gadget 2,4,$99.99,$399.96
2026-02-08,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-08,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-08,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-08,Main Store,Gadget 2,4,$99.99,$399.96
2026-02-08,Main Store,Gadget 1,1,$99.99,$99.99
2026-02-08,Main Store,Gadget 2,3,$99.99,$299.97
2026-02-08,Main Store,Gadget 4,2,$99.99,$199.98
2026-02-08,Main Store,Gadget 3,1,$99.99,$99.99
2026-02-07,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-07,Main Store,Gadget 3,4,$99.99,$399.96
2026-02-07,Main Store,Gadget 3,3,$99.99,$299.97
2026-02-07,Main Store,Gadget 3,4,$99.99,$399.96
2026-02-07,Main Store,Gadget 4,2,$99.99,$199.98
2026-02-07,Main Store,Gadget 3,5,$99.99,$499.95
2026-02-07,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-07,Main Store,Gadget 1,1,$99.99,$99.99
2026-02-07,Main Store,Gadget 0,5,$99.99,$499.95
2026-02-07,Main Store,Gadget 4,4,$99.99,$399.96
2026-02-07,Main Store,Gadget 1,1,$99.99,$99.99
2026-02-07,Main Store,Gadget 1,5,$99.99,$499.95
2026-02-07,Main Store,Gadget 0,5,$99.99,$499.95
2026-02-07,Main Store,Gadget 3,5,$99.99,$499.95
2026-02-06,Main Store,Gadget 0,2,$99.99,$199.98
2026-02-06,Main Store,Gadget 1,2,$99.99,$199.98
2026-02-06,Main Store,Gadget 1,3,$99.99,$299.97
2026-02-06,Main Store,Gadget 1,5,$99.99,$499.95
2026-02-06,Main Store,Gadget 3,1,$99.99,$99.99
2026-02-06,Main Store,Gadget 2,1,$99.99,$99.99
2026-02-06,Main Store,Gadget 4,3,$99.99,$299.97
2026-02-06,Main Store,Gadget 0,2,$99.99,$199.98
2026-02-06,Main Store,Gadget 4,4,$99.99,$399.96
2026-02-05,Main Store,Gadget 4,1,$99.99,$99.99
2026-02-05,Main Store,Gadget 0,1,$99.99,$99.99
2026-02-05,Main Store,Gadget 0,2,$99.99,$199.98
2026-02-05,Main Store,Gadget 2,1,$99.99,$99.99
2026-02-05,Main Store,Gadget 1,1,$99.99,$99.99
2026-02-05,Main Store,Gadget 2,2,$99.99,$199.98
2026-02-05,Main Store,Gadget 3,4,$99.99,$399.96
2026-02-05,Main Store,Gadget 1,4,$99.99,$399.96
2026-02-05,Main Store,Gadget 3,4,$99.99,$399.96
2026-02-05,Main Store,Gadget 1,3,$99.99,$299.97
2026-02-05,Main Store,Gadget 3,3,$99.99,$299.97
2026-02-05,Main Store,Gadget 0,1,$99.99,$99.99
2026-02-05,Main Store,Gadget 2,4,$99.99,$399.96
2026-02-05,Main Store,Gadget 4,2,$99.99,$199.98
2026-02-05,Main Store,Gadget 2,2,$99.99,$199.98
2026-02-05,Main Store,Gadget 1,1,$99.99,$99.99
2026-02-04,Main Store,Gadget 1,1,$99.99,$99.99
2026-02-04,Main Store,Gadget 3,5,$99.99,$499.95
2026-02-04,Main Store,Gadget 3,5,$99.99,$499.95
2026-02-04,Main Store,Gadget 3,5,$99.99,$499.95
2026-02-04,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-04,Main Store,Gadget 4,4,$99.99,$399.96
2026-02-04,Main Store,Gadget 0,3,$99.99,$299.97
2026-02-04,Main Store,Gadget 1,3,$99.99,$299.97
2026-02-04,Main Store,Gadget 2,2,$99.99,$199.98
2026-02-03,Main Store,Gadget 3,2,$99.99,$199.98
2026-02-03,Main Store,Gadget 2,1,$99.99,$99.99
2026-02-03,Main Store,Gadget 1,4,$99.99,$399.96
2026-02-03,Main Store,Gadget 4,5,$99.99,$499.95
2026-02-03,Main Store,Gadget 2,5,$99.99,$499.95
2026-02-03,Main Store,Gadget 0,5,$99.99,$499.95
2026-02-03,Main Store,Gadget 3,1,$99.99,$99.99
2026-02-03,Main Store,Gadget 1,1,$99.99,$99.99
2026-02-03,Main Store,Gadget 4,3,$99.99,$299.97
2026-02-03,Main Store,Gadget 0,2,$99.99,$199.98
2026-02-03,Main Store,Gadget 4,2,$99.99,$199.98
2026-02-03,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-03,Main Store,Gadget 4,2,$99.99,$199.98
2026-02-03,Main Store,Gadget 2,5,$99.99,$499.95
2026-02-03,Main Store,Gadget 2,3,$99.99,$299.97
2026-02-03,Main Store,Gadget 1,2,$99.99,$199.98
2026-02-02,Main Store,Gadget 1,1,$99.99,$99.99
2026-02-02,Main Store,Gadget 2,5,$99.99,$499.95
2026-02-02,Main Store,Gadget 4,4,$99.99,$399.96
2026-02-02,Main Store,Gadget 3,3,$99.99,$299.97
2026-02-02,Main Store,Gadget 4,1,$99.99,$99.99
2026-02-02,Main Store,Gadget 2,4,$99.99,$399.96
2026-02-02,Main Store,Gadget 2,1,$99.99,$99.99
2026-02-02,Main Store,Gadget 3,2,$99.99,$199.98
2026-02-02,Main Store,Gadget 0,1,$99.99,$99.99
2026-02-02,Main Store,Gadget 0,2,$99.99,$199.98
2026-02-02,Main Store,Gadget 1,2,$99.99,$199.98
2026-02-02,Main Store,Gadget 0,1,$99.99,$99.99
2026-02-01,Main Store,Gadget 1,5,$99.99,$499.95
2026-02-01,Main Store,Gadget 1,5,$99.99,$499.95
2026-02-01,Main Store,Gadget 2,2,$99.99,$199.98
2026-02-01,Main Store,Gadget 0,5,$99.99,$499.95
2026-02-01,Main Store,Gadget 3,1,$99.99,$99.99
2026-02-01,Main Store,Gadget 2,2,$99.99,$199.98
2026-02-01,Main Store,Gadget 2,2,$99.99,$199.98
2026-02-01,Main Store,Gadget 4,1,$99.99,$99.99
2026-02-01,Main Store,Gadget 1,2,$99.99,$199.98
2026-02-01,Main Store,Gadget 1,4,$99.99,$399.96
2026-02-01,Main Store,Gadget 1,1,$99.99,$99.99
2026-02-01,Main Store,Gadget 4,3,$99.99,$299.97
2026-02-01,Main Store,Gadget 0,4,$99.99,$399.96
2026-02-01,Main Store,Gadget 2,3,$99.99,$299.97
2026-01-31,Main Store,Gadget 2,4,$99.99,$399.96
2026-01-31,Main Store,Gadget 4,2,$99.99,$199.98
2026-01-31,Main Store,Gadget 2,3,$99.99,$299.97
2026-01-31,Main Store,Gadget 3,5,$99.99,$499.95
2026-01-31,Main Store,Gadget 1,1,$99.99,$99.99
2026-01-31,Main Store,Gadget 1,3,$99.99,$299.97
2026-01-31,Main Store,Gadget 4,1,$99.99,$99.99
2026-01-31,Main Store,Gadget 2,3,$99.99,$299.97
2026-01-31,Main Store,Gadget 0,3,$99.99,$299.97
2026-01-31,Main Store,Gadget 3,3,$99.99,$299.97
2026-01-31,Main Store,Gadget 3,4,$99.99,$399.96
2026-01-31,Main Store,Gadget 4,5,$99.99,$499.95
2026-01-31,Main Store,Gadget 1,1,$99.99,$99.99
2026-01-31,Main Store,Gadget 4,3,$99.99,$299.97
2026-01-31,Main Store,Gadget 1,5,$99.99,$499.95
2026-01-31,Main Store,Gadget 0,1,$99.99,$99.99
2026-01-31,Main Store,Gadget 3,2,$99.99,$199.98
2026-01-31,Main Store,Gadget 3,4,$99.99,$399.96
2026-01-31,Main Store,Gadget 0,3,$99.99,$299.97
2026-01-31,Main Store,Gadget 3,5,$99.99,$499.95
2026-01-31,Main Store,Gadget 1,3,$99.99,$299.97
2026-01-30,Main Store,Gadget 3,1,$99.99,$99.99
2026-01-30,Main Store,Gadget 2,2,$99.99,$199.98
2026-01-30,Main Store,Gadget 0,4,$99.99,$399.96
2026-01-30,Main Store,Gadget 0,5,$99.99,$499.95
2026-01-30,Main Store,Gadget 3,3,$99.99,$299.97
2026-01-30,Main Store,Gadget 1,5,$99.99,$499.95
2026-01-30,Main Store,Gadget 2,2,$99.99,$199.98
2026-01-30,Main Store,Gadget 1,2,$99.99,$199.98
2026-01-30,Main Store,Gadget 0,3,$99.99,$299.97
2026-01-30,Main Store,Gadget 1,4,$99.99,$399.96
2026-01-30,Main Store,Gadget 2,1,$99.99,$99.99
2026-01-30,Main Store,Gadget 4,4,$99.99,$399.96
2026-01-30,Main Store,Gadget 0,5,$99.99,$499.95
2026-01-30,Main Store,Gadget 3,2,$99.99,$199.98
2026-01-30,Main Store,Gadget 0,5,$99.99,$499.95
2026-01-30,Main Store,Gadget 0,5,$99.99,$499.95
2026-01-30,Main Store,Gadget 2,3,$99.99,$299.97
2026-01-30,Main Store,Gadget 0,1,$99.99,$99.99
2026-01-30,Main Store,Gadget 3,2,$99.99,$199.98
2026-01-30,Main Store,Gadget 1,2,$99.99,$199.98
2026-01-30,Main Store,Gadget 3,4,$99.99,$399.96
2026-01-30,Main Store,Gadget 0,1,$99.99,$99.99
2026-01-29,Main Store,Gadget 0,1,$99.99,$99.99
2026-01-29,Main Store,Gadget 2,3,$99.99,$299.97
2026-01-29,Main Store,Gadget 1,5,$99.99,$499.95
2026-01-29,Main Store,Gadget 4,3,$99.99,$299.97
2026-01-29,Main Store,Gadget 4,3,$99.99,$299.97
2026-01-29,Main Store,Gadget 3,3,$99.99,$299.97
2026-01-29,Main Store,Gadget 2,2,$99.99,$199.98
2026-01-29,Main Store,Gadget 3,3,$99.99,$299.97
2026-01-29,Main Store,Gadget 4,5,$99.99,$499.95
2026-01-28,Main Store,Gadget 4,2,$99.99,$199.98
2026-01-28,Main Store,Gadget 1,4,$99.99,$399.96
2026-01-28,Main Store,Gadget 4,3,$99.99,$299.97
2026-01-28,Main Store,Gadget 2,5,$99.99,$499.95
2026-01-28,Main Store,Gadget 4,2,$99.99,$199.98
2026-01-28,Main Store,Gadget 2,5,$99.99,$499.95
2026-01-28,Main Store,Gadget 2,4,$99.99,$399.96
2026-01-28,Main Store,Gadget 0,1,$99.99,$99.99
2026-01-28,Main Store,Gadget 0,4,$99.99,$399.96
2026-01-28,Main Store,Gadget 1,5,$99.99,$499.95
2026-01-28,Main Store,Gadget 1,1,$99.99,$99.99
2026-01-28,Main Store,Gadget 0,4,$99.99,$399.96
2026-01-28,Main Store,Gadget 3,1,$99.99,$99.99
2026-01-28,Main Store,Gadget 3,5,$99.99,$499.95
2026-01-28,Main Store,Gadget 1,4,$99.99,$399.96
2026-01-28,Main Store,Gadget 0,4,$99.99,$399.96
2026-01-28,Main Store,Gadget 3,5,$99.99,$499.95
2026-01-28,Main Store,Gadget 1,5,$99.99,$499.95
2026-01-28,Main Store,Gadget 3,5,$99.99,$499.95
2026-01-28,Main Store,Gadget 3,1,$99.99,$99.99
2026-01-28,Main Store,Gadget 0,1,$99.99,$99.99
2026-01-27,Main Store,Gadget 3,1,$99.99,$99.99
2026-01-27,Main Store,Gadget 1,1,$99.99,$99.99
2026-01-27,Main Store,Gadget 2,5,$99.99,$499.95
2026-01-27,Main Store,Gadget 0,1,$99.99,$99.99
2026-01-27,Main Store,Gadget 1,3,$99.99,$299.97
2026-01-27,Main Store,Gadget 2,2,$99.99,$199.98
2026-01-27,Main Store,Gadget 1,2,$99.99,$199.98
2026-01-27,Main Store,Gadget 0,2,$99.99,$199.98
2026-01-26,Main Store,Gadget 0,2,$99.99,$199.98
2026-01-26,Main Store,Gadget 3,1,$99.99,$99.99
2026-01-26,Main Store,Gadget 4,4,$99.99,$399.96
2026-01-26,Main Store,Gadget 4,1,$99.99,$99.99
2026-01-26,Main Store,Gadget 3,2,$99.99,$199.98
2026-01-26,Main Store,Gadget 3,1,$99.99,$99.99
